image,class
fruits-360/Training/Clementine/r_79_100.jpg,0
fruits-360/Training/Clementine/r_88_100.jpg,0
fruits-360/Training/Clementine/171_100.jpg,0
fruits-360/Training/Clementine/293_100.jpg,0
fruits-360/Training/Clementine/234_100.jpg,0
fruits-360/Training/Clementine/283_100.jpg,0
fruits-360/Training/Clementine/r_284_100.jpg,0
fruits-360/Training/Clementine/r_8_100.jpg,0
fruits-360/Training/Clementine/r_141_100.jpg,0
fruits-360/Training/Clementine/14_100.jpg,0
fruits-360/Training/Clementine/149_100.jpg,0
fruits-360/Training/Clementine/r_247_100.jpg,0
fruits-360/Training/Clementine/r_273_100.jpg,0
fruits-360/Training/Clementine/r_96_100.jpg,0
fruits-360/Training/Clementine/317_100.jpg,0
fruits-360/Training/Clementine/r_168_100.jpg,0
fruits-360/Training/Clementine/r_109_100.jpg,0
fruits-360/Training/Clementine/219_100.jpg,0
fruits-360/Training/Clementine/41_100.jpg,0
fruits-360/Training/Clementine/120_100.jpg,0
fruits-360/Training/Clementine/146_100.jpg,0
fruits-360/Training/Clementine/250_100.jpg,0
fruits-360/Training/Clementine/r_144_100.jpg,0
fruits-360/Training/Clementine/r_219_100.jpg,0
fruits-360/Training/Clementine/253_100.jpg,0
fruits-360/Training/Clementine/278_100.jpg,0
fruits-360/Training/Clementine/148_100.jpg,0
fruits-360/Training/Clementine/r_310_100.jpg,0
fruits-360/Training/Clementine/122_100.jpg,0
fruits-360/Training/Clementine/r_309_100.jpg,0
fruits-360/Training/Clementine/r_237_100.jpg,0
fruits-360/Training/Clementine/r_179_100.jpg,0
fruits-360/Training/Clementine/208_100.jpg,0
fruits-360/Training/Clementine/r_171_100.jpg,0
fruits-360/Training/Clementine/r_143_100.jpg,0
fruits-360/Training/Clementine/135_100.jpg,0
fruits-360/Training/Clementine/r_317_100.jpg,0
fruits-360/Training/Clementine/132_100.jpg,0
fruits-360/Training/Clementine/r_162_100.jpg,0
fruits-360/Training/Clementine/r_172_100.jpg,0
fruits-360/Training/Clementine/138_100.jpg,0
fruits-360/Training/Clementine/133_100.jpg,0
fruits-360/Training/Clementine/222_100.jpg,0
fruits-360/Training/Clementine/43_100.jpg,0
fruits-360/Training/Clementine/r_113_100.jpg,0
fruits-360/Training/Clementine/r_81_100.jpg,0
fruits-360/Training/Clementine/r_4_100.jpg,0
fruits-360/Training/Clementine/173_100.jpg,0
fruits-360/Training/Clementine/262_100.jpg,0
fruits-360/Training/Clementine/r_262_100.jpg,0
fruits-360/Training/Clementine/r_14_100.jpg,0
fruits-360/Training/Clementine/r_318_100.jpg,0
fruits-360/Training/Clementine/83_100.jpg,0
fruits-360/Training/Clementine/r_301_100.jpg,0
fruits-360/Training/Clementine/241_100.jpg,0
fruits-360/Training/Clementine/r_294_100.jpg,0
fruits-360/Training/Clementine/r_298_100.jpg,0
fruits-360/Training/Clementine/r_312_100.jpg,0
fruits-360/Training/Clementine/r_90_100.jpg,0
fruits-360/Training/Clementine/r_78_100.jpg,0
fruits-360/Training/Clementine/r_87_100.jpg,0
fruits-360/Training/Clementine/140_100.jpg,0
fruits-360/Training/Clementine/40_100.jpg,0
fruits-360/Training/Clementine/19_100.jpg,0
fruits-360/Training/Clementine/277_100.jpg,0
fruits-360/Training/Clementine/r_166_100.jpg,0
fruits-360/Training/Clementine/r_256_100.jpg,0
fruits-360/Training/Clementine/r_264_100.jpg,0
fruits-360/Training/Clementine/232_100.jpg,0
fruits-360/Training/Clementine/210_100.jpg,0
fruits-360/Training/Clementine/r_23_100.jpg,0
fruits-360/Training/Clementine/r_126_100.jpg,0
